card_id,front,back,deck,tags
CARD-IA-001,"O que é um LLM?","Um LLM (Large Language Model) é um modelo de linguagem treinado em grandes volumes de texto capaz de compreender instruções, gerar texto, resumir informações, escrever código e raciocinar sobre problemas. Ele não é uma base de dados nem executa ações sozinho; apenas gera respostas com base no contexto recebido.",IA::01 - Fundamentos,ia fundamentos llm
CARD-IA-002,"O que é um Prompt?","É a instrução enviada ao modelo dizendo o que deve ser feito naquele momento. O prompt representa a tarefa atual e normalmente muda a cada interação.",IA::01 - Fundamentos,ia fundamentos prompt
CARD-IA-003,"O que é Context?","É o conjunto de informações que permite ao modelo compreender o ambiente em que está trabalhando: arquitetura, regras de negócio, convenções, documentação e estado atual do projeto.",IA::01 - Fundamentos,ia fundamentos context
CARD-IA-004,Qual a diferença entre Prompt e Context?,"Prompt responde: ""O que fazer?"" — Context responde: ""Onde estou e como esse projeto funciona?""",IA::01 - Fundamentos,ia fundamentos prompt context
CARD-IA-005,"O que é uma Skill?","Uma Skill é um procedimento especializado que orienta como executar uma determinada tarefa. Ela define etapas, checklists, critérios de qualidade e boas práticas reutilizáveis.",IA::01 - Fundamentos,ia fundamentos skill
CARD-IA-006,"Qual a diferença entre Prompt e Skill?","O Prompt define a tarefa. A Skill define a forma de executá-la.",IA::01 - Fundamentos,ia fundamentos prompt skill
CARD-IA-007,"O que é MCP?","MCP (Model Context Protocol) é um padrão que permite que modelos de IA utilizem ferramentas externas como arquivos, bancos de dados, APIs, servidores e aplicações.",IA::01 - Fundamentos,ia fundamentos mcp
CARD-IA-008,"O que o MCP faz?","Fornece capacidades ao modelo. Exemplos: acessar GitHub, ler arquivos, executar comandos, consultar banco, acessar APIs e controlar ferramentas.",IA::01 - Fundamentos,ia fundamentos mcp
CARD-IA-009,"Um MCP é um agente?","Não. O MCP apenas fornece acesso às ferramentas. Quem decide quando e como utilizá-las é o agente.",IA::01 - Fundamentos,ia fundamentos mcp agente
CARD-IA-010,"O que é um Agente de IA?","É um sistema que utiliza um modelo de IA para atingir um objetivo podendo planejar ações consultar contexto utilizar Skills e operar ferramentas por meio de MCPs.",IA::01 - Fundamentos,ia fundamentos agente
CARD-IA-011,"Relação entre Prompt Context Skill e MCP","Prompt → o que fazer | Context → conhecimento do projeto | Skill → como fazer | MCP → ferramentas disponíveis",IA::01 - Fundamentos,ia fundamentos relacao
CARD-IA-012,"Fluxo mental de um agente","Objetivo → Contexto → Skills → Planejamento → Uso de MCPs → Execução → Resultado",IA::01 - Fundamentos,ia fundamentos agente fluxo
CARD-IA-013,"O que NÃO é um LLM?","Um LLM não: conhece automaticamente meu projeto; lembra de todas as conversas; acessa arquivos sem permissão; navega na internet por conta própria; executa comandos sozinho; aprende permanentemente com cada conversa. Tudo isso depende do contexto fornecido, das ferramentas disponíveis e da forma como ele foi integrado.",IA::01 - Fundamentos,ia fundamentos llm limites
