question_id,front,back,topic,tags
BNDES-2024-P2-Q036,"BNDES 2024 Prova 2 Q36: As divisões categóricas dos códigos maliciosos, também conhecidos como malware, servem para homogeneizar os tipos de tratamento e resposta a essas ameaças. Para implementar um spyware em uma máquina-alvo, o tipo de malware mais indicado para ser usado na infecção é um(a) (A) trojan, pois o usuário do sistema terá interesse em usá-lo e é silencioso. (B) vírus, pois são notórios pela capacidade de se replicar autonomamente em diversos computadores de uma rede. (C) worm, pois é capaz de se replicar em diversas áreas da memória (seja principal ou secundária) de um úni- co dispositivo-alvo. (D) spear phishing, pois usa diversos computadores con- trolados para infectar um alvo específico. (E) botnet, pois engana o usuário e o leva a fornecer as suas credenciais a um programa conhecido como botmaster.","Resposta correta: A. Explicação direta: A alternativa A está correta porque é a única que se alinha ao enunciado e ao conceito central de Segurança de Endpoint e Malware. Em termos práticos, o ponto decisivo é: trojan, pois o usuário do sistema terá interesse em usá-lo e é silencioso. Explicação aprofundada: Raciocínio aprofundado: esta questão exige domínio de comportamento de malware, vetores de infecção e controles preventivos/corretivos. A opção A é a melhor resposta por manter coerência técnica e semântica com o problema apresentado. As demais alternativas funcionam como distratores típicos de prova (generalização indevida, troca de conceito ou inversão de causa e efeito). Para consolidar o aprendizado, revise o tema com foco em definição formal, cenário de aplicação e limites do conceito cobrado. Análise das incorretas: B: incorreta por nao atender ao criterio central do enunciado. C: incorreta por nao atender ao criterio central do enunciado. D: incorreta por nao atender ao criterio central do enunciado. E: incorreta por nao atender ao criterio central do enunciado. Referências confiáveis: CIS Controls v8; NIST SP 800-83; Microsoft Security Baselines.",Segurança de Endpoint e Malware,concurso::bndes2024 ciber::tecnico q::36 explained::enhanced
BNDES-2024-P2-Q037,"BNDES 2024 Prova 2 Q37: O tipo de incidente de segurança mais reportado anual- mente ao CERT.br é conhecido como SCAN e engloba as notificações de varreduras em redes de computadores (scans). O fato de este ser o tipo de incidente mais reportado não é incomum, pois a varredura é usualmente a (A) segunda etapa de um ataque que interage com os sis- temas-alvo, utilizando-se de ferramentas para testar diversas senhas. (B) única etapa de um ataque sem interação com os sis- temas-alvo, sendo utilizada em praticamente todos os tipos de ataque. (C) última etapa de um ataque, buscando percorrer os sistemas afetados e garantir que eles não contenham registros do ataque. (D) primeira etapa de um ataque, utilizando-se de técni- cas de engenharia social. (E) primeira etapa em que ocorre interação com os siste- mas-alvo, sendo utilizada em praticamente todos os tipos de ataque.","Resposta correta: E. Explicação direta: A alternativa E está correta porque é a única que se alinha ao enunciado e ao conceito central de SOC, SIEM e Resposta a Incidentes. Em termos práticos, o ponto decisivo é: primeira etapa em que ocorre interação com os siste- mas-alvo, sendo utilizada em praticamente todos os tipos de ataque. Explicação aprofundada: Raciocínio aprofundado: esta questão exige domínio de detecção, triagem, resposta e automação operacional em segurança. A opção E é a melhor resposta por manter coerência técnica e semântica com o problema apresentado. As demais alternativas funcionam como distratores típicos de prova (generalização indevida, troca de conceito ou inversão de causa e efeito). Para consolidar o aprendizado, revise o tema com foco em definição formal, cenário de aplicação e limites do conceito cobrado. Análise das incorretas: A: incorreta por nao atender ao criterio central do enunciado. B: incorreta por nao atender ao criterio central do enunciado. C: incorreta por nao atender ao criterio central do enunciado. D: incorreta por nao atender ao criterio central do enunciado. Referências confiáveis: NIST SP 800-61r2; MITRE ATT&CK; CISA Incident Response Guides.","SOC, SIEM e Resposta a Incidentes",concurso::bndes2024 ciber::tecnico q::37 explained::enhanced
BNDES-2024-P2-Q038,"BNDES 2024 Prova 2 Q38: Durante muitos séculos, a criptografia era utilizada ape- nas para proteger a confidencialidade das mensagens. Entretanto, ao final do século XX uma nova forma de crip- tografia foi criada. Esta, em conjunto com outras técnicas, permite proteger a integridade, a confidencialidade e a au- tenticidade das informações que são transmitidas. Consi- dere a transmissão de uma mensagem (M) de R para J. Uma solução de segurança que protege a integridade, a confidencialidade e a autenticidade das informações, du- rante essa transmissão, é a solução realizada com os se- guintes procedimentos de R: (A) cifrar M com chave simétrica k, gerando a cifra C; transmitir k e C para J; e depois transmitir M em claro para ser conferido por J. (B) cifrar M com a chave secreta (Sr ) de R, gerando a cifra C1 ; cifrar C1 com a chave secreta de J (Sj ), gerando a cifra C2 ; e transmitir C2 para J. (C) cifrar M com a chave pública de R (Pr ), gerando a cifra C1 ; cifrar C1 com a chave secreta de R (Sr ), gerando a cifra C2 ; transmitir C2 e M em claro para ser conferido por J. (D) cifrar M com a chave secreta de R (Sr ), gerando a cifra C1 ; cifrar C1 com a chave pública de J (Pj ), gerando a cifra C2 ; transmitir C2 e um hash H(M) para ser confe- rido por J. (E) cifrar M com a chave simétrica k, gerando a cifra C; transmitir C e um hash H(M) para ser conferido por J.","Resposta correta: D. Explicação direta: A alternativa D está correta porque é a única que se alinha ao enunciado e ao conceito central de Criptografia e Hash. Em termos práticos, o ponto decisivo é: cifrar M com a chave secreta de R (Sr ), gerando a cifra C1 ; cifrar C1 com a chave pública de J (Pj ), gerando a cifra C2 ; transmitir C2 e um hash H(M) para ser confe- rido por J. Explicação aprofundada: Raciocínio aprofundado: esta questão exige domínio de confidencialidade, integridade, autenticidade, gestão de chaves e propriedades de protocolos criptográficos. A opção D é a melhor resposta por manter coerência técnica e semântica com o problema apresentado. As demais alternativas funcionam como distratores típicos de prova (generalização indevida, troca de conceito ou inversão de causa e efeito). Para consolidar o aprendizado, revise o tema com foco em definição formal, cenário de aplicação e limites do conceito cobrado. Análise das incorretas: A: incorreta por nao atender ao criterio central do enunciado. B: incorreta por nao atender ao criterio central do enunciado. C: incorreta por nao atender ao criterio central do enunciado. E: incorreta por nao atender ao criterio central do enunciado. Referências confiáveis: NIST SP 800-57; NIST SP 800-52r2 (TLS); RFC 8446 (TLS 1.3).",Criptografia e Hash,concurso::bndes2024 ciber::tecnico q::38 explained::enhanced
BNDES-2024-P2-Q039,BNDES 2024 Prova 2 Q39: Um dos principais desafios dos sistemas informatizados permanentemente conectados é se manter seguro frente às novas ameaças que surgem continuamente. Um recur- so importante nesse contexto é o National Vulnerabilities Database (NVD). A NVD é uma base de dados que pode ser usada para (A) conhecer os novos ataques zero-day que serão ainda empregados. (B) criar uma tabela de tipos de malware conhecidos. (C) elencar uma lista das principais atualizações a serem aplicadas para se proteger de vulnerabilidades desco- nhecidas. (D) gerar um relatório de estruturas vulneráveis a ataques físicos. (E) listar um conjunto de vulnerabilidades já descobertas para serem consertadas.,"Resposta correta: E. Explicação direta: A alternativa E está correta porque é a única que se alinha ao enunciado e ao conceito central de Cibersegurança - geral. Em termos práticos, o ponto decisivo é: listar um conjunto de vulnerabilidades já descobertas para serem consertadas. Explicação aprofundada: Raciocínio aprofundado: esta questão exige domínio de fundamentos de segurança da informação e uso correto de recursos técnicos de proteção. A opção E é a melhor resposta por manter coerência técnica e semântica com o problema apresentado. As demais alternativas funcionam como distratores típicos de prova (generalização indevida, troca de conceito ou inversão de causa e efeito). Para consolidar o aprendizado, revise o tema com foco em definição formal, cenário de aplicação e limites do conceito cobrado. Análise das incorretas: A: incorreta por nao atender ao criterio central do enunciado. B: incorreta por nao atender ao criterio central do enunciado. C: incorreta por nao atender ao criterio central do enunciado. D: incorreta por nao atender ao criterio central do enunciado. Referências confiáveis: NIST CSF 2.0; OWASP; CIS Controls v8.",Cibersegurança - geral,concurso::bndes2024 ciber::tecnico q::39 explained::enhanced
BNDES-2024-P2-Q040,"BNDES 2024 Prova 2 Q40: O NIST cybersecurity framework (NCF) é um documento que provê organizações com instruções para melhorar o gerenciamento de riscos de segurança cibernética. Uma das sugestões é a representação da maturidade do geren- ciamento e da governança de ameaças cibernéticas atra- vés de níveis (tiers). Considere que duas organizações, W e Y, utilizam-se do NCF como referência e indicam que estão, respectivamente, nos tiers 3 e 4. As organizações W e Y estão em níveis diferentes de maturidade e, por isso, têm características específicas em alguns aspectos. Quais são essas características específicas? (A) Y implementa o gerenciamento de risco cibernético de maneira irregular e por iniciativas pontuais de colabo- radores. (B) W gerencia os riscos cibernéticos em um nível organi- zacional, mas ainda sem a percepção de que esse ge- renciamento é parte da cultura organizacional, como ocorre na organização Y. (C) W está mais protegida contra ataques cibernéticos do que a organização Y. (D) W e Y, embora estejam em níveis distintos, cuidam da segurança sem estabelecimento formal das práticas e procedimentos. (E) Y se encontra no nível mais alto de maturidade, não sendo mais necessário se atualizar a novos riscos ci- bernéticos.","Resposta correta: B. Explicação direta: A alternativa B está correta porque é a única que se alinha ao enunciado e ao conceito central de IAM e Controle de Acesso. Em termos práticos, o ponto decisivo é: W gerencia os riscos cibernéticos em um nível organi- zacional, mas ainda sem a percepção de que esse ge- renciamento é parte da cultura organizacional, como ocorre na organização Y. Explicação aprofundada: Raciocínio aprofundado: esta questão exige domínio de identidade, autenticação, autorização, princípio do menor privilégio e protocolos de acesso. A opção B é a melhor resposta por manter coerência técnica e semântica com o problema apresentado. As demais alternativas funcionam como distratores típicos de prova (generalização indevida, troca de conceito ou inversão de causa e efeito). Para consolidar o aprendizado, revise o tema com foco em definição formal, cenário de aplicação e limites do conceito cobrado. Análise das incorretas: A: incorreta por nao atender ao criterio central do enunciado. C: incorreta por nao atender ao criterio central do enunciado. D: incorreta por nao atender ao criterio central do enunciado. E: incorreta por nao atender ao criterio central do enunciado. Referências confiáveis: NIST SP 800-63; CIS Controls v8; OWASP ASVS (Authentication).",IAM e Controle de Acesso,concurso::bndes2024 ciber::tecnico q::40 explained::enhanced
BNDES-2024-P2-Q041,"BNDES 2024 Prova 2 Q41: A Norma ISO/27001:2022 elenca as boas práticas na implantação de um sistema de gestão de segurança da informação (SGSI) para organizações. Essa norma é cal- cada na estrutura PDCA (Plan, Do, Check, Act) e elenca ações a serem feitas a cada uma das etapas. Com relação ao ciclo PDCA no contexto da implantação de um SGSI, a estrutura adotada é (A) padronizada, com cada etapa sendo executada uma vez, e com maior relevância para a etapa de planeja- mento. (B) única para cada organização, devendo ter apenas eta- pas consideradas aplicáveis à organização onde está sendo implementada. (C) elíptica, com a etapa de atuação baseada nos resulta- dos avaliados na etapa de execução. (D) iterativa, com uma etapa de planejamento ocorrendo após cada etapa de atuação. (E) quadrada, com cada etapa sendo executada uma vez, e de igual relevância para o sucesso.","Resposta correta: D. Explicação direta: A alternativa D está correta porque é a única que se alinha ao enunciado e ao conceito central de Governança, Risco e Compliance. Em termos práticos, o ponto decisivo é: iterativa, com uma etapa de planejamento ocorrendo após cada etapa de atuação. Explicação aprofundada: Raciocínio aprofundado: esta questão exige domínio de tratamento de risco, terminologia normativa, políticas e evidências de conformidade. A opção D é a melhor resposta por manter coerência técnica e semântica com o problema apresentado. As demais alternativas funcionam como distratores típicos de prova (generalização indevida, troca de conceito ou inversão de causa e efeito). Para consolidar o aprendizado, revise o tema com foco em definição formal, cenário de aplicação e limites do conceito cobrado. Análise das incorretas: A: incorreta por nao atender ao criterio central do enunciado. B: incorreta por nao atender ao criterio central do enunciado. C: incorreta por nao atender ao criterio central do enunciado. E: incorreta por nao atender ao criterio central do enunciado. Referências confiáveis: ISO/IEC 27001/27002; NIST CSF 2.0; LGPD e guias ANPD.","Governança, Risco e Compliance",concurso::bndes2024 ciber::tecnico q::41 explained::enhanced
BNDES-2024-P2-Q042,"BNDES 2024 Prova 2 Q42: A ABNT NBR ISO/IEC 29100:2020 estabelece uma es- trutura de alto nível para a proteção de dados pessoais (DP) dentro de sistemas de tecnologia da informação e de comunicação (TIC). Essa norma recomenda que a alta direção da organização, envolvida no tratamento de DP, estabeleça uma política de privacidade com base em prin- cípios de privacidade que orientem a sua concepção, o seu desenvolvimento e a sua implementação. Dentre os princípios de privacidade adotados nessa norma, há um que permite que os responsáveis pelos DP questionem a exatidão e a integridade dos DP e que tais DP sejam aper- feiçoados, corrigidos ou removidos, conforme apropriado e possível no contexto específico. Esse princípio de privacidade é o de (A) abertura, transparência e notificação (B) acesso e participação individual (C) compliance com a privacidade (D) precisão e qualidade (E) responsabilização","Resposta correta: B. Explicação direta: A alternativa B está correta porque é a única que se alinha ao enunciado e ao conceito central de IAM e Controle de Acesso. Em termos práticos, o ponto decisivo é: acesso e participação individual Explicação aprofundada: Raciocínio aprofundado: esta questão exige domínio de identidade, autenticação, autorização, princípio do menor privilégio e protocolos de acesso. A opção B é a melhor resposta por manter coerência técnica e semântica com o problema apresentado. As demais alternativas funcionam como distratores típicos de prova (generalização indevida, troca de conceito ou inversão de causa e efeito). Para consolidar o aprendizado, revise o tema com foco em definição formal, cenário de aplicação e limites do conceito cobrado. Análise das incorretas: A: incorreta por nao atender ao criterio central do enunciado. C: incorreta por nao atender ao criterio central do enunciado. D: incorreta por nao atender ao criterio central do enunciado. E: incorreta por nao atender ao criterio central do enunciado. Referências confiáveis: NIST SP 800-63; CIS Controls v8; OWASP ASVS (Authentication).",IAM e Controle de Acesso,concurso::bndes2024 ciber::tecnico q::42 explained::enhanced
BNDES-2024-P2-Q043,"BNDES 2024 Prova 2 Q43: A ABNT NBR ISO/IEC 27005:2023 é uma norma com orientações para ajudar as organizações na realização de atividades de gestão de riscos de segurança da informa- ção. Essa norma apresenta termos e definições importan- tes, com o propósito de facilitar a compreensão do docu- mento da norma e de evitar ambiguidades que possam provocar uma interpretação errônea do seu texto. De acordo com essa norma, vulnerabilidade é a(o) (A) causa potencial de um incidente de segurança da in- formação que pode resultar em danos a um sistema ou prejuízos a uma organização. (B) fraqueza de um ativo ou controle que pode ser explo- rada e então pode ocorrer um evento com uma conse- quência negativa. (C) ocorrência ou mudança de um conjunto específico de circunstâncias. (D) elemento que, individualmente ou combinado, tem o potencial para dar origem ao risco. (E) evento de segurança da informação indesejado ou inesperado que tem probabilidade significativa de comprometer as operações do negócio.","Resposta correta: B. Explicação direta: A alternativa B está correta porque é a única que se alinha ao enunciado e ao conceito central de Governança, Risco e Compliance. Em termos práticos, o ponto decisivo é: fraqueza de um ativo ou controle que pode ser explo- rada e então pode ocorrer um evento com uma conse- quência negativa. Explicação aprofundada: Raciocínio aprofundado: esta questão exige domínio de tratamento de risco, terminologia normativa, políticas e evidências de conformidade. A opção B é a melhor resposta por manter coerência técnica e semântica com o problema apresentado. As demais alternativas funcionam como distratores típicos de prova (generalização indevida, troca de conceito ou inversão de causa e efeito). Para consolidar o aprendizado, revise o tema com foco em definição formal, cenário de aplicação e limites do conceito cobrado. Análise das incorretas: A: incorreta por nao atender ao criterio central do enunciado. C: incorreta por nao atender ao criterio central do enunciado. D: incorreta por nao atender ao criterio central do enunciado. E: incorreta por nao atender ao criterio central do enunciado. Referências confiáveis: ISO/IEC 27001/27002; NIST CSF 2.0; LGPD e guias ANPD.","Governança, Risco e Compliance",concurso::bndes2024 ciber::tecnico q::43 explained::enhanced
BNDES-2024-P2-Q044,BNDES 2024 Prova 2 Q44: Um Sistema de Gestão de Continuidade de Negócios (SGCN) aumenta o nível de resposta e prontidão da or- ganização para continuar operando durante disrupções. A ABNT NBR ISO 22313:2020 define os seis elementos da gestão de continuidade de negócios. O elemento que fornece o resultado que permite à or- ganização determinar parâmetros apropriados para as suas estratégias e soluções de continuidade de negó- cios é o de (A) análise de impacto nos negócios e avaliação de riscos (B) avaliação da documentação e das capacidades de continuidade de negócios (C) planejamento e controle operacional (D) planos e procedimentos de continuidade de negócios (E) programa de exercícios,"Resposta correta: A. Explicação direta: A alternativa A está correta porque é a única que se alinha ao enunciado e ao conceito central de Governança, Risco e Compliance. Em termos práticos, o ponto decisivo é: análise de impacto nos negócios e avaliação de riscos Explicação aprofundada: Raciocínio aprofundado: esta questão exige domínio de tratamento de risco, terminologia normativa, políticas e evidências de conformidade. A opção A é a melhor resposta por manter coerência técnica e semântica com o problema apresentado. As demais alternativas funcionam como distratores típicos de prova (generalização indevida, troca de conceito ou inversão de causa e efeito). Para consolidar o aprendizado, revise o tema com foco em definição formal, cenário de aplicação e limites do conceito cobrado. Análise das incorretas: B: incorreta por nao atender ao criterio central do enunciado. C: incorreta por nao atender ao criterio central do enunciado. D: incorreta por nao atender ao criterio central do enunciado. E: incorreta por nao atender ao criterio central do enunciado. Referências confiáveis: ISO/IEC 27001/27002; NIST CSF 2.0; LGPD e guias ANPD.","Governança, Risco e Compliance",concurso::bndes2024 ciber::tecnico q::44 explained::enhanced
BNDES-2024-P2-Q045,"BNDES 2024 Prova 2 Q45: AABNT NBR ISO/IEC 27035-1:2023 destina-se a comple- mentar outras normas e documentos que fornecem orien- tação sobre a investigação e preparação para investigar incidentes de segurança da informação. Conforme defini- do nessa norma, o processo de gestão de incidentes de segurança da informação consiste em cinco fases distin- tas. Há uma fase na qual pode ocorrer a necessidade de invocar medidas do plano de continuidade de negócios ou do plano de recuperação de desastre para os incidentes que excedam determinados limites organizacionais para as equipes de resposta a incidentes. Essa fase é a de (A) avaliar e decidir (B) detectar e comunicar (C) lições aprendidas (D) planejar e preparar (E) responder","Resposta correta: E. Explicação direta: A alternativa E está correta porque é a única que se alinha ao enunciado e ao conceito central de IAM e Controle de Acesso. Em termos práticos, o ponto decisivo é: responder Explicação aprofundada: Raciocínio aprofundado: esta questão exige domínio de identidade, autenticação, autorização, princípio do menor privilégio e protocolos de acesso. A opção E é a melhor resposta por manter coerência técnica e semântica com o problema apresentado. As demais alternativas funcionam como distratores típicos de prova (generalização indevida, troca de conceito ou inversão de causa e efeito). Para consolidar o aprendizado, revise o tema com foco em definição formal, cenário de aplicação e limites do conceito cobrado. Análise das incorretas: A: incorreta por nao atender ao criterio central do enunciado. B: incorreta por nao atender ao criterio central do enunciado. C: incorreta por nao atender ao criterio central do enunciado. D: incorreta por nao atender ao criterio central do enunciado. Referências confiáveis: NIST SP 800-63; CIS Controls v8; OWASP ASVS (Authentication).",IAM e Controle de Acesso,concurso::bndes2024 ciber::tecnico q::45 explained::enhanced
