question_id,front,back,topic,tags
BNDES-2024-P2-Q004,"BNDES 2024 Prova 2 Q4: Em outubro de 2023, o Brasil definiu sua Contribuição Nacionalmente Determinada (NDC, sigla em inglês) para a meta absoluta de emissões líquidas de gases de efei- to estufa, para 2025, de 1,32 GtCO2e, que é consistente com uma redução de 48,4% em comparação com 2005. Essa ação do governo do Brasil busca (A) reafirmar as metas brasileiras definidas na NDC do ano 2020. (B) rever a posição do governo brasileiro acerca do Proto- colo de Kyoto. (C) demonstrar compromisso com o Acordo de Paris. (D) liderar pelo exemplo o grupo de países desenvolvidos. (E) equiparar suas metas às dos países em desenvolvi- mento.",Resposta correta: C. Tema: Economia/Política Pública. Referencias: OCDE Data; Banco Mundial; IPEA.,Economia/Política Pública,concurso::bndes2024 ciber::prova2 reviewed::high q::4
BNDES-2024-P2-Q005,"BNDES 2024 Prova 2 Q5: No Relatório Mundial das Cidades 2022, publicado pelo Programa das Nações Unidas para Assentamentos Hu- manos (ONU-Habitat), aponta-se que a população mun- dial será 68% urbana até 2050. O relatório contém uma visão abrangente sobre a realidade das cidades, as ten- dências da política urbana e as perspectivas do desenvol- vimento urbano sustentável e a conclusão de que cidades podem ser lugares mais equitativos, ecológicos e basea- dos no conhecimento. Nessa visão trazida pelo relatório e suas conclusões, há reconhecimento de que a(s) (A) urbanização, como inimiga do meio ambiente, precisa ser combatida e controlada. (B) urbanização, fator inexorável da sociedade humana, precisa privilegiar soluções baseadas na natureza. (C) gestão das cidades precisa garantir equidade à popu- lação no acesso aos recursos advindos do meio am- biente. (D) gestão das cidades precisa priorizar a expansão de negócios em áreas litorâneas para propiciar interação sociedade-natureza. (E) cidades inteligentes serão aquelas com ativos econô- micos advindos do uso dos recursos naturais.",Resposta correta: B. Tema: Economia/Política Pública. Referencias: OCDE Data; Banco Mundial; IPEA.,Economia/Política Pública,concurso::bndes2024 ciber::prova2 reviewed::high q::5
BNDES-2024-P2-Q006,"BNDES 2024 Prova 2 Q6: Para o exercício de suas funções, o governo dispõe de um conjunto complexo de políticas: política fiscal, política monetária, política externa, política industrial, política de renda, dentre outras. São instrumentos da política fiscal: (A) controle sobre a taxa de câmbio e incentivo à exporta- ção de bens e serviços (B) incentivos financeiros e incentivos creditícios para o setor de agropecuária (C) alterações salariais e geração de empregos (D) controle sobre as taxas de juros e controle sobre me- canismos de crédito (E) alterações nos gastos governamentais e incentivos fiscais",Resposta correta: E. Tema: Economia/Política Pública. Referencias: OCDE Data; Banco Mundial; IPEA.,Economia/Política Pública,concurso::bndes2024 ciber::prova2 reviewed::high q::6
BNDES-2024-P2-Q007,"BNDES 2024 Prova 2 Q7: O processo de elaboração de políticas públicas é conheci- do como “ciclo de políticas públicas”. Esse ciclo organiza a vida de uma política pública em fases sequenciais e in- terdependentes. É na fase de implementação de uma política pública que ocorre a (A) elaboração de propostas para a resolução de um pro- blema. (B) formulação de diferentes alternativas para soluções de problemas. (C) priorização de um problema, com base em sua impor- tância e na capacidade do governo de atuar sobre ele. (D) utilização de indicadores para monitoramento da polí- tica pública. (E) utilização de instrumentos, como a regulamentação, a desregulamentação e a legalização.",Resposta correta: E. Tema: Economia/Política Pública. Referencias: OCDE Data; Banco Mundial; IPEA.,Economia/Política Pública,concurso::bndes2024 ciber::prova2 reviewed::high q::7
BNDES-2024-P2-Q008,"BNDES 2024 Prova 2 Q8: Segundo o Tribunal de Contas da União, subsídio é trans- ferência condicional de fundos pelo governo, em benefício de outra parte, com a finalidade de influenciar o comporta- mento dessa parte, para alcançar algum nível de atividade ou provisão. Há disposições preferenciais da legislação que concedem subsídios ou subvenções na forma de de- sembolsos efetivos realizados por meio das equalizações de juros e preços e da assunção das dívidas decorrentes de saldos de obrigações de responsabilidade do ente da Federação, cujos valores constam do orçamento. Os subsídios concedidos por meio de tais disposições são denominados (A) benefícios tributários (B) benefícios creditícios (C) benefícios financeiros (D) desonerações tributárias (E) renúncia de receita tributária",Resposta correta: C. Tema: Economia/Política Pública. Referencias: OCDE Data; Banco Mundial; IPEA.,Economia/Política Pública,concurso::bndes2024 ciber::prova2 reviewed::high q::8
BNDES-2024-P2-Q012,"BNDES 2024 Prova 2 Q12: Com o objetivo de expandir a capacidade exportadora das empresas brasileiras, o BNDES atua com o produto BNDES Exim Pós-embarque. Nas operações desse produto, o(s) (A) financiamento é destinado à comercialização dos pro- dutos estrangeiros no Brasil. (B) financiamento é destinado à produção dos bens e ser- viços para a exportação. (C) BNDES é que assume a dívida em moeda estrangei- ra. (D) valor desembolsado pelo BNDES ao exportador bra- sileiro é uma antecipação do pagamento feito pelo im- portador, que pode ser uma empresa estrangeira ou um país. (E) recursos são desembolsados no exterior, em dólares, para os exportadores brasileiros.",Resposta correta: D. Tema: Economia/Política Pública. Referencias: OCDE Data; Banco Mundial; IPEA.,Economia/Política Pública,concurso::bndes2024 ciber::prova2 reviewed::high q::12
BNDES-2024-P2-Q013,"BNDES 2024 Prova 2 Q13: Os Bancos de Desenvolvimento (BD) são instituições his- toricamente relevantes para promover o desenvolvimento econômico e social de longo prazo, em países avançados e em desenvolvimento. Essas instituições (A) têm o lucro como medida principal de seus resultados. (B) têm como objetivo a melhoria do bem-estar social e o desenvolvimento econômico e ambientalmente sus- tentável. (C) têm a finalidade de substituir o financiamento privado dos investimentos. (D) perseguem estratégias de curto prazo, priorizando o crescimento econômico robusto. (E) selecionam os projetos somente pelo seu perfil finan- ceiro.",Resposta correta: B. Tema: Economia/Política Pública. Referencias: OCDE Data; Banco Mundial; IPEA.,Economia/Política Pública,concurso::bndes2024 ciber::prova2 reviewed::high q::13
BNDES-2024-P2-Q014,"BNDES 2024 Prova 2 Q14: O BNDES conta com um portfólio de Modelos de Negó- cios alinhado com o momento econômico e as demandas do país. Quando a atuação do BNDES se dá por meio de Recur- sos Não Reembolsáveis, ela ocorre mediante a (A) concessão de financiamento, limites de crédito, em- préstimos e debêntures simples não conversíveis (B) gestão de recursos de terceiros (C) provisão de fianças diretas e indiretas (D) realização de investimentos diretos e de operações de mercado de capitais (E) estruturação de projetos e a coordenação de ofertas públicas de distribuição de títulos",Resposta correta: B. Tema: Economia/Política Pública. Referencias: OCDE Data; Banco Mundial; IPEA.,Economia/Política Pública,concurso::bndes2024 ciber::prova2 reviewed::high q::14
BNDES-2024-P2-Q015,"BNDES 2024 Prova 2 Q15: Uma pesquisa coletou as seguintes informações sobre as variáveis salário e hora extra: Média Desvio padrão Salário 500 50 Hora extra 100 20 Considerando-se essas informações, no que diz respeito à variação das variáveis salário e hora extra, conclui-se que: (A) a variável salário variou mais. (B) a variável hora extra variou mais. (C) a variação comparativa dessas variáveis pode ser me- dida pelo desvio padrão. (D) as variáveis tiveram a mesma variação. (E) não é possível saber qual das variáveis sofreu maior variação.",Resposta correta: B. Tema: Economia/Política Pública. Referencias: OCDE Data; Banco Mundial; IPEA.,Economia/Política Pública,concurso::bndes2024 ciber::prova2 reviewed::high q::15
BNDES-2024-P2-Q016,"BNDES 2024 Prova 2 Q16: O uso de dados quantitativos e qualitativos é fundamental para a compreensão e a análise da situação de um país, servindo de importante subsídio à tomada de decisões. Esses dados são mensurados a partir de diferentes va- riáveis. Sobre essas variáveis, verifica-se que (A) estado civil, grau de instrução, região e salários são variáveis qualitativas. (B) salários, idade, grau de instrução e estado civil são variáveis quantitativas. (C) número de filhos é uma variável quantitativa discreta. (D) grau de instrução é uma variável qualitativa nominal. (E) região é uma variável quantitativa discreta.",Resposta correta: C. Tema: Economia/Política Pública. Referencias: OCDE Data; Banco Mundial; IPEA.,Economia/Política Pública,concurso::bndes2024 ciber::prova2 reviewed::high q::16
BNDES-2024-P2-Q018,"BNDES 2024 Prova 2 Q18: Os programas sociais e de transferência de renda são considerados políticas públicas importantes para a dimi- nuição da pobreza absoluta e da pobreza em suas dife- rentes dimensões, podendo variar segundo a idade, gê- nero, cultura e outros contextos sociais e econômicos. É um programa de política pública voltado para a garantia de renda: (A) Esporte e lazer nas cidades (B) Tempo de aprender (C) Benefício de Prestação Continuada (D) Academia da Saúde (E) Mais Médicos",Resposta correta: C. Tema: Economia/Política Pública. Referencias: OCDE Data; Banco Mundial; IPEA.,Economia/Política Pública,concurso::bndes2024 ciber::prova2 reviewed::high q::18
BNDES-2024-P2-Q021,"BNDES 2024 Prova 2 Q21: Ao longo do texto, estabelece-se uma relação entre os grandes magazines no século XIX e a consolidação do consumo na modernidade. Essa relação se baseia na ideia de que esses grandes magazines (A) definiram grupos urbanos em função do poder aquisi- tivo dos consumidores. (B) inauguraram a compra e a venda de produtos como atividades de expressão de afeto. (C) conceberam espaços de venda como territórios de ex- pressão de identidades individuais. (D) elaboraram uma nova cultura de venda definidora de práticas de consumo que perduram até hoje. (E) criaram o exibicionismo que se reproduziu em diver- sas práticas modernas e contemporâneas.",Resposta correta: D. Tema: Português - interpretação e gramática. Referencias: Cebraspe/Cesgranrio provas anteriores comentadas; Gramáticas normativas (Cunha/Celso); Manuais de redação oficial.,Português - interpretação e gramática,concurso::bndes2024 ciber::prova2 reviewed::high q::21
BNDES-2024-P2-Q022,"BNDES 2024 Prova 2 Q22: No texto, discute-se como as práticas de consumo defi- nidas no passado se relacionam com as do presente e projetam, ao final, possibilidades para seu futuro. Acerca dessas relações temporais, no texto, afirma-se que as(os) (A) redes sociais substituem hoje o lugar ocupado pelas lojas de departamentos no passado. (B) novas tecnologias devem gerar futuramente mudan- ças rápidas na cultura consumista de hoje. (C) experiências fundadas pelas lojas de departamentos se contrapõem às práticas de consumo contemporâ- neas. (D) rituais e os valores que baseiam o consumismo con- temporâneo já existiam antes da criação das lojas de departamentos. (E) bens de consumo deixaram de ser prioridade em fun- ção da inserção das mídias digitais na vida cotidiana dos consumidores.",Resposta correta: D. Tema: Português - interpretação e gramática. Referencias: Cebraspe/Cesgranrio provas anteriores comentadas; Gramáticas normativas (Cunha/Celso); Manuais de redação oficial.,Português - interpretação e gramática,concurso::bndes2024 ciber::prova2 reviewed::high q::22
